'sample interval','ECG '
'0.00333333 sec','mV'
0,-0.210
1,-0.244
2,-0.282
3,-0.315
4,-0.335
5,-0.350
6,-0.355
7,-0.349
8,-0.337
9,-0.323
10,-0.306
11,-0.292
12,-0.277
13,-0.263
14,-0.245
15,-0.233
16,-0.223
17,-0.216
18,-0.212
19,-0.212
20,-0.218
21,-0.228
22,-0.238
23,-0.246
24,-0.254
25,-0.261
26,-0.269
27,-0.275
28,-0.281
29,-0.287
30,-0.292
31,-0.298
32,-0.304
33,-0.309
34,-0.314
35,-0.322
36,-0.330
37,-0.338
38,-0.345
39,-0.352
40,-0.359
41,-0.367
42,-0.375
43,-0.381
44,-0.387
45,-0.396
46,-0.410
47,-0.432
48,-0.453
49,-0.472
50,-0.489
51,-0.491
52,-0.483
53,-0.460
54,-0.390
55,-0.297
56,-0.192
57,-0.098
58,-0.042
59,-0.039
60,-0.077
61,-0.175
62,-0.318
63,-0.502
64,-0.711
65,-0.922
66,-1.111
67,-1.263
68,-1.356
69,-1.387
70,-1.380
71,-1.359
72,-1.304
73,-1.249
74,-1.201
75,-1.151
76,-1.120
77,-1.093
78,-1.074
79,-1.058
80,-1.045
81,-1.034
82,-1.023
83,-1.012
84,-0.996
85,-0.969
86,-0.937
87,-0.903
88,-0.864
89,-0.832
90,-0.787
91,-0.744
92,-0.700
93,-0.654
94,-0.601
95,-0.550
96,-0.502
97,-0.452
98,-0.421
99,-0.387
100,-0.357
101,-0.339
102,-0.328
103,-0.321
104,-0.322
105,-0.331
106,-0.343
107,-0.354
108,-0.363
109,-0.373
110,-0.382
111,-0.389
112,-0.396
113,-0.405
114,-0.416
115,-0.426
116,-0.435
117,-0.441
118,-0.445
119,-0.449
120,-0.451
121,-0.450
122,-0.446
123,-0.439
124,-0.430
125,-0.419
126,-0.403
127,-0.395
128,-0.391
129,-0.385
130,-0.380
131,-0.398
132,-0.418
133,-0.433
134,-0.446
135,-0.458
136,-0.471
137,-0.483
138,-0.496
139,-0.510
140,-0.525
141,-0.539
142,-0.552
143,-0.563
144,-0.582
145,-0.608
146,-0.636
147,-0.663
148,-0.686
149,-0.701
150,-0.711
151,-0.717
152,-0.722
153,-0.726
154,-0.728
155,-0.725
156,-0.717
157,-0.706
158,-0.687
159,-0.658
160,-0.631
161,-0.602
162,-0.568
163,-0.535
164,-0.502
165,-0.470
166,-0.417
167,-0.370
168,-0.323
169,-0.296
170,-0.247
171,-0.185
172,-0.113
173,-0.038
174,0.036
175,0.111
176,0.187
177,0.264
178,0.349
179,0.447
180,0.544
181,0.630
182,0.703
183,0.767
184,0.833
185,0.906
186,0.978
187,1.037
188,1.066
189,1.081
190,1.091
191,1.097
192,1.099
193,1.097
194,1.092
195,1.083
196,1.069
197,1.043
198,1.020
199,1.003
200,0.982
201,0.960
202,0.939
203,0.917
204,0.889
205,0.852
206,0.813
207,0.779
208,0.747
209,0.721
210,0.699
211,0.676
212,0.651
213,0.623
214,0.596
215,0.578
216,0.564
217,0.553
218,0.543
219,0.535
220,0.529
221,0.523
222,0.516
223,0.517
224,0.533
225,0.558
226,0.583
227,0.593
228,0.600
229,0.603
230,0.604
231,0.602
232,0.595
233,0.584
234,0.564
235,0.532
236,0.513
237,0.502
238,0.494
239,0.495
240,0.505
241,0.520
242,0.545
243,0.577
244,0.622
245,0.685
246,0.763
247,0.846
248,0.918
249,0.951
250,0.964
251,0.964
252,0.947
253,0.902
254,0.857
255,0.810
256,0.747
257,0.651
258,0.520
259,0.369
260,0.203
261,0.024
262,-0.158
263,-0.339
264,-0.505
265,-0.647
266,-0.757
267,-0.804
268,-0.802
269,-0.742
270,-0.647
271,-0.561
272,-0.520
273,-0.507
274,-0.537
275,-0.630
276,-0.782
277,-0.954
278,-1.124
279,-1.279
280,-1.400
281,-1.434
282,-1.425
283,-1.347
284,-1.234
285,-1.109
286,-0.992
287,-0.901
288,-0.862
289,-0.849
290,-0.863
291,-0.904
292,-0.974
293,-1.066
294,-1.149
295,-1.176
296,-1.185
297,-1.170
298,-1.124
299,-1.071
300,-1.020
301,-0.991
302,-0.941
303,-0.890
304,-0.834
305,-0.805
306,-0.783
307,-0.766
308,-0.742
309,-0.721
310,-0.704
311,-0.689
312,-0.677
313,-0.658
314,-0.627
315,-0.591
316,-0.556
317,-0.519
318,-0.489
319,-0.473
320,-0.462
321,-0.458
322,-0.462
323,-0.474
324,-0.508
325,-0.548
326,-0.563
327,-0.563
328,-0.548
329,-0.505
330,-0.423
331,-0.310
332,-0.163
333,0.005
334,0.184
335,0.375
336,0.573
337,0.769
338,0.952
339,1.117
340,1.272
341,1.411
342,1.528
343,1.627
344,1.717
345,1.795
346,1.858
347,1.901
348,1.927
349,1.974
350,2.076
351,2.241
352,2.485
353,2.785
354,3.053
355,3.191
356,3.198
357,3.093
358,2.780
359,2.301
360,1.666
361,0.891
362,0.021
363,-0.890
364,-1.766
365,-2.514
366,-3.097
367,-3.530
368,-3.839
369,-4.023
370,-4.091
371,-4.114
372,-4.086
373,-4.003
374,-3.826
375,-3.589
376,-3.327
377,-3.047
378,-2.753
379,-2.477
380,-2.222
381,-1.972
382,-1.738
383,-1.531
384,-1.386
385,-1.304
386,-1.239
387,-1.169
388,-1.098
389,-1.023
390,-0.946
391,-0.872
392,-0.808
393,-0.738
394,-0.637
395,-0.500
396,-0.319
397,-0.129
398,0.045
399,0.220
400,0.388
401,0.542
402,0.680
403,0.811
404,0.932
405,1.028
406,1.100
407,1.157
408,1.206
409,1.236
410,1.291
411,1.349
412,1.406
413,1.449
414,1.464
415,1.470
416,1.470
417,1.462
418,1.450
419,1.431
420,1.401
421,1.349
422,1.280
423,1.218
424,1.193
425,1.181
426,1.172
427,1.169
428,1.173
429,1.186
430,1.204
431,1.236
432,1.274
433,1.307
434,1.329
435,1.348
436,1.370
437,1.399
438,1.434
439,1.468
440,1.502
441,1.535
442,1.567
443,1.599
444,1.625
445,1.642
446,1.653
447,1.651
448,1.634
449,1.611
450,1.585
451,1.546
452,1.504
453,1.457
454,1.422
455,1.399
456,1.388
457,1.380
458,1.375
459,1.370
460,1.366
461,1.362
462,1.359
463,1.356
464,1.352
465,1.347
466,1.339
467,1.324
468,1.310
469,1.291
470,1.263
471,1.239
472,1.224
473,1.212
474,1.202
475,1.186
476,1.163
477,1.138
478,1.120
479,1.107
480,1.098
481,1.117
482,1.175
483,1.249
484,1.339
485,1.430
486,1.511
487,1.566
488,1.570
489,1.539
490,1.436
491,1.287
492,1.109
493,0.919
494,0.748
495,0.613
496,0.515
497,0.482
498,0.471
499,0.493
500,0.562
501,0.639
502,0.711
503,0.769
504,0.801
505,0.814
506,0.820
507,0.824
508,0.827
509,0.831
510,0.833
511,0.835
512,0.838
513,0.842
514,0.845
515,0.849
516,0.852
517,0.855
518,0.859
519,0.863
520,0.870
521,0.882
522,0.891
523,0.895
524,0.897
525,0.900
526,0.902
527,0.905
528,0.906
529,0.907
530,0.906
531,0.904
532,0.900
533,0.894
534,0.887
535,0.878
536,0.864
537,0.851
538,0.839
539,0.818
540,0.793
541,0.772
542,0.749
543,0.726
544,0.701
545,0.681
546,0.669
547,0.657
548,0.644
549,0.624
550,0.596
551,0.573
552,0.555
553,0.538
554,0.527
555,0.518
556,0.511
557,0.508
558,0.509
559,0.511
560,0.515
561,0.519
562,0.524
563,0.509
564,0.483
565,0.453
566,0.422
567,0.395
568,0.352
569,0.297
570,0.233
571,0.169
572,0.109
573,0.053
574,-0.009
575,-0.081
576,-0.158
577,-0.236
578,-0.306
579,-0.365
580,-0.413
581,-0.458
582,-0.508
583,-0.563
584,-0.613
585,-0.656
586,-0.698
587,-0.743
588,-0.789
589,-0.842
590,-0.900
591,-0.959
592,-1.012
593,-1.062
594,-1.089
595,-1.133
596,-1.179
597,-1.229
598,-1.260
599,-1.294
600,-1.328
601,-1.354
602,-1.374
603,-1.397
604,-1.409
605,-1.417
606,-1.423
607,-1.428
608,-1.431
609,-1.431
610,-1.430
611,-1.427
612,-1.423
613,-1.419
614,-1.415
615,-1.411
616,-1.406
617,-1.401
618,-1.397
619,-1.394
620,-1.393
621,-1.395
622,-1.398
623,-1.404
624,-1.411
625,-1.419
626,-1.432
627,-1.446
628,-1.459
629,-1.480
630,-1.507
631,-1.532
632,-1.558
633,-1.575
634,-1.586
635,-1.592
636,-1.595
637,-1.596
638,-1.599
639,-1.601
640,-1.602
641,-1.596
642,-1.582
643,-1.571
644,-1.561
645,-1.551
646,-1.541
647,-1.528
648,-1.514
649,-1.498
650,-1.484
651,-1.473
652,-1.463
653,-1.453
654,-1.440
655,-1.424
656,-1.414
657,-1.407
658,-1.401
659,-1.396
660,-1.392
661,-1.388
662,-1.383
663,-1.380
664,-1.377
665,-1.373
666,-1.369
667,-1.362
668,-1.352
669,-1.341
670,-1.327
671,-1.314
672,-1.303
673,-1.292
674,-1.283
675,-1.274
676,-1.264
677,-1.255
678,-1.246
679,-1.235
680,-1.224
681,-1.215
682,-1.205
683,-1.197
684,-1.192
685,-1.188
686,-1.185
687,-1.181
688,-1.179
689,-1.176
690,-1.172
691,-1.166
692,-1.160
693,-1.148
694,-1.109
695,-1.038
696,-0.937
697,-0.808
698,-0.664
699,-0.524
700,-0.420
701,-0.406
702,-0.438
703,-0.604
704,-0.849
705,-1.131
706,-1.406
707,-1.621
708,-1.723
709,-1.731
710,-1.667
711,-1.533
712,-1.382
713,-1.241
714,-1.119
715,-1.018
716,-0.935
717,-0.879
718,-0.852
719,-0.836
720,-0.825
721,-0.815
722,-0.802
723,-0.782
