'Time and date','ECG '
'hh:mm:ss.mmm dd/mm/yyyy','mV'
'[05:05:15.000 01/05/2000]',-0.127
'[05:05:15.003 01/05/2000]',-0.162
'[05:05:15.007 01/05/2000]',-0.197
'[05:05:15.010 01/05/2000]',-0.229
'[05:05:15.013 01/05/2000]',-0.245
'[05:05:15.017 01/05/2000]',-0.254
'[05:05:15.020 01/05/2000]',-0.261
'[05:05:15.023 01/05/2000]',-0.265
'[05:05:15.027 01/05/2000]',-0.268
'[05:05:15.030 01/05/2000]',-0.268
'[05:05:15.033 01/05/2000]',-0.267
'[05:05:15.037 01/05/2000]',-0.265
'[05:05:15.040 01/05/2000]',-0.263
'[05:05:15.043 01/05/2000]',-0.260
'[05:05:15.047 01/05/2000]',-0.256
'[05:05:15.050 01/05/2000]',-0.253
'[05:05:15.053 01/05/2000]',-0.249
'[05:05:15.057 01/05/2000]',-0.247
'[05:05:15.060 01/05/2000]',-0.245
'[05:05:15.063 01/05/2000]',-0.243
'[05:05:15.067 01/05/2000]',-0.241
'[05:05:15.070 01/05/2000]',-0.238
'[05:05:15.073 01/05/2000]',-0.236
'[05:05:15.077 01/05/2000]',-0.234
'[05:05:15.080 01/05/2000]',-0.232
'[05:05:15.083 01/05/2000]',-0.231
'[05:05:15.087 01/05/2000]',-0.230
'[05:05:15.090 01/05/2000]',-0.229
'[05:05:15.093 01/05/2000]',-0.229
'[05:05:15.097 01/05/2000]',-0.229
'[05:05:15.100 01/05/2000]',-0.229
'[05:05:15.103 01/05/2000]',-0.230
'[05:05:15.107 01/05/2000]',-0.230
'[05:05:15.110 01/05/2000]',-0.230
'[05:05:15.113 01/05/2000]',-0.229
'[05:05:15.117 01/05/2000]',-0.229
'[05:05:15.120 01/05/2000]',-0.227
'[05:05:15.123 01/05/2000]',-0.225
'[05:05:15.127 01/05/2000]',-0.221
'[05:05:15.130 01/05/2000]',-0.218
'[05:05:15.133 01/05/2000]',-0.215
'[05:05:15.137 01/05/2000]',-0.213
'[05:05:15.140 01/05/2000]',-0.213
'[05:05:15.143 01/05/2000]',-0.213
'[05:05:15.147 01/05/2000]',-0.212
'[05:05:15.150 01/05/2000]',-0.211
'[05:05:15.153 01/05/2000]',-0.210
'[05:05:15.157 01/05/2000]',-0.209
'[05:05:15.160 01/05/2000]',-0.206
'[05:05:15.163 01/05/2000]',-0.203
'[05:05:15.167 01/05/2000]',-0.201
'[05:05:15.170 01/05/2000]',-0.198
'[05:05:15.173 01/05/2000]',-0.198
'[05:05:15.177 01/05/2000]',-0.200
'[05:05:15.180 01/05/2000]',-0.204
'[05:05:15.183 01/05/2000]',-0.210
'[05:05:15.187 01/05/2000]',-0.216
'[05:05:15.190 01/05/2000]',-0.224
'[05:05:15.193 01/05/2000]',-0.233
'[05:05:15.197 01/05/2000]',-0.243
'[05:05:15.200 01/05/2000]',-0.253
'[05:05:15.203 01/05/2000]',-0.262
'[05:05:15.207 01/05/2000]',-0.270
'[05:05:15.210 01/05/2000]',-0.275
'[05:05:15.213 01/05/2000]',-0.281
'[05:05:15.217 01/05/2000]',-0.286
'[05:05:15.220 01/05/2000]',-0.291
'[05:05:15.223 01/05/2000]',-0.292
'[05:05:15.227 01/05/2000]',-0.289
'[05:05:15.230 01/05/2000]',-0.282
'[05:05:15.233 01/05/2000]',-0.273
'[05:05:15.237 01/05/2000]',-0.264
'[05:05:15.240 01/05/2000]',-0.259
'[05:05:15.243 01/05/2000]',-0.255
'[05:05:15.247 01/05/2000]',-0.250
'[05:05:15.250 01/05/2000]',-0.246
'[05:05:15.253 01/05/2000]',-0.241
'[05:05:15.257 01/05/2000]',-0.237
'[05:05:15.260 01/05/2000]',-0.233
'[05:05:15.263 01/05/2000]',-0.229
'[05:05:15.267 01/05/2000]',-0.226
'[05:05:15.270 01/05/2000]',-0.222
'[05:05:15.273 01/05/2000]',-0.219
'[05:05:15.277 01/05/2000]',-0.216
